vertex1_key,vertex2_key,edge_type,edge_dir,ra1_deg,dec1_deg,ra2_deg,dec2_deg,x1,y1,z1,x2,y2,z2,constellation
285,192,P,+,6.418,77.0,52.668,77.0,0.2235412525962176,0.0251452826218055,0.9743700647852352,0.1364176486944069,0.1788664361335179,0.9743700647852352,CAS CEP
284,285,M,+,6.418,66.0,6.418,77.0,0.4041875639798476,0.0454654808025547,0.9135454576426008,0.2235412525962176,0.0251452826218055,0.9743700647852352,CAS CEP
341,332,M,+,6.418,-7.0,6.418,0.0,0.9863257171415328,0.1109479285216213,-0.1218693434051474,0.9937328511228394,0.1117811280998395,0.0,CET PSC
332,333,M,+,6.418,0.0,6.418,2.0,0.9937328511228394,0.1117811280998395,0.0,0.9931274959196984,0.111713034056826,0.0348994967025009,CET PSC
333,334,P,+,6.418,2.0,31.418,2.0,0.9931274959196984,0.111713034056826,0.0348994967025009,0.8528672148053562,0.5209602086916685,0.0348994967025009,CET PSC
25,24,M,+,12.168,23.75,12.168,33.0,0.8947478789581232,0.1929283206472544,0.4027466898587372,0.819828800285205,0.1767740358786373,0.5446390350150271,PSC AND
25,26,P,+,12.168,23.75,14.168,23.75,0.8947478789581232,0.1929283206472544,0.4027466898587372,0.8874697214352926,0.2240370445783336,0.4027466898587372,AND PSC
24,23,P,+,12.168,33.0,22.543,33.0,0.819828800285205,0.1767740358786373,0.5446390350150271,0.7745894872917027,0.3215267449452336,0.5446390350150271,PSC AND
562,561,M,+,12.668,-76.0,12.668,-75.0,0.2360328337333413,0.0530537931758449,-0.9702957262759964,0.2525186589179048,0.0567593605151036,-0.9659258262890684,TUC HYI
562,563,P,+,12.668,-76.0,21.418,-76.0,0.2360328337333413,0.0530537931758449,-0.9702957262759964,0.225215045400542,0.0883424410788397,-0.9702957262759964,HYI TUC
27,26,M,+,14.168,21.0,14.168,23.75,0.9051829677018524,0.2285086600572597,0.3583679495453002,0.8874697214352926,0.2240370445783336,0.4027466898587372,PSC AND
9,10,M,+,14.418,46.0,14.418,48.0,0.6727800947309811,0.172965880399926,0.7193398003386512,0.6480563279415397,0.1666096161123386,0.7431448254773942,AND CAS
10,11,P,+,14.418,48.0,18.168,48.0,0.6480563279415397,0.1666096161123386,0.7431448254773942,0.6357719993441283,0.2086378038998278,0.7431448254773942,AND CAS
11,12,M,+,18.168,48.0,18.168,50.0,0.6357719993441283,0.2086378038998278,0.7431448254773942,0.610742297363804,0.2004239441217481,0.766044443118978,AND CAS
12,13,P,+,18.168,50.0,21.918,50.0,0.610742297363804,0.2004239441217481,0.766044443118978,0.5963262981055069,0.2399392784733609,0.766044443118978,AND CAS
485,486,P,+,21.418,-53.5,25.168000000000003,-53.5,0.5537450034913844,0.2172110005201357,-0.8038568606172173,0.5383531137954425,0.2529625911184954,-0.8038568606172173,ERI PHE
484,485,M,+,21.418,-58.5,21.418,-53.5,0.4864154097442603,0.1908004174354711,-0.8526401643540922,0.5537450034913844,0.2172110005201357,-0.8038568606172173,ERI PHE
484,483,P,+,21.418,-58.5,33.918,-58.5,0.4864154097442603,0.1908004174354711,-0.8526401643540922,0.4335886536459654,0.2915572491976588,-0.8526401643540922,HYI ERI
563,484,M,+,21.418,-76.0,21.418,-58.5,0.225215045400542,0.0883424410788397,-0.9702957262759964,0.4864154097442603,0.1908004174354711,-0.8526401643540922,HYI TUC
292,291,P,+,21.918,54.0,26.918,54.0,0.545299564426128,0.2194080396184273,0.8090169943749475,0.5241018642952953,0.2660991143441146,0.8090169943749475,PER CAS
13,292,M,+,21.918,50.0,21.918,54.0,0.5963262981055069,0.2399392784733609,0.766044443118978,0.545299564426128,0.2194080396184273,0.8090169943749475,PER CAS
13,14,P,+,21.918,50.0,26.418,50.0,0.5963262981055069,0.2399392784733609,0.766044443118978,0.5756626043236769,0.2859868478616049,0.766044443118978,AND PER
23,22,M,+,22.543,33.0,22.543,35.0,0.7745894872917027,0.3215267449452336,0.5446390350150271,0.7565623335920504,0.3140437979845891,0.573576436351046,TRI AND
681,23,M,+,22.543,28.0,22.543,33.0,0.8154833964586499,0.3385015241260192,0.4694715627858908,0.7745894872917027,0.3215267449452336,0.5446390350150271,TRI PSC
22,21,P,+,22.543,35.0,31.418,35.0,0.7565623335920504,0.3140437979845891,0.573576436351046,0.6990537671820328,0.4270057403026834,0.573576436351046,TRI AND
681,682,P,+,22.543,28.0,26.418,28.0,0.8154833964586499,0.3385015241260192,0.4694715627858908,0.7907431679250293,0.3928379998361441,0.4694715627858908,PSC TRI
486,487,M,+,25.168000000000003,-53.5,25.168000000000003,-51.5,0.5383531137954425,0.2529625911184954,-0.8038568606172173,0.5634160299195113,0.2647392114096507,-0.7826081568524139,ERI PHE
487,488,P,+,25.168000000000003,-51.5,28.918000000000003,-51.5,0.5634160299195113,0.2647392114096507,-0.7826081568524139,0.5448949400947409,0.301021555851431,-0.7826081568524139,ERI PHE
120,121,P,+,26.418,25.0,30.168,25.0,0.811663904440801,0.4032313369161477,0.4226182617406994,0.7835534784789683,0.4554533469047939,0.4226182617406994,ARI TRI
499,340,M,+,26.418,-40.0,26.418,-25.5,0.6860479768248811,0.3408258533737613,-0.6427876096865393,0.8083301351537359,0.4015751338507675,-0.4305110968082951,FOR SCL
15,16,P,+,26.418,47.0,32.043,47.0,0.6107786556270268,0.3034323597745947,0.7313537016191705,0.5780960172688383,0.3618380272246744,0.7313537016191705,AND PER
120,682,M,+,26.418,25.0,26.418,28.0,0.811663904440801,0.4032313369161477,0.4226182617406994,0.7907431679250293,0.3928379998361441,0.4694715627858908,TRI PSC
340,339,M,+,26.418,-25.5,26.418,-24.383333333333333,0.8083301351537359,0.4015751338507675,-0.4305110968082951,0.8156903984774662,0.405231682828546,-0.4128395052119128,FOR CET
339,338,P,+,26.418,-24.383333333333333,41.168,-24.383333333333333,0.8156903984774662,0.405231682828546,-0.4128395052119128,0.6856373113359775,0.5995540177835145,-0.4128395052119128,FOR CET
15,14,M,+,26.418,47.0,26.418,50.0,0.6107786556270268,0.3034323597745947,0.7313537016191705,0.5756626043236769,0.2859868478616049,0.766044443118978,PER AND
119,120,M,+,26.418,9.916666666666666,26.418,25.0,0.8821915319726198,0.4382691763267501,0.1722156496886213,0.811663904440801,0.4032313369161477,0.4226182617406994,ARI PSC
499,491,P,+,26.418,-40.0,36.418,-40.0,0.6860479768248811,0.3408258533737613,-0.6427876096865393,0.6164415781753524,0.4547789237972072,-0.6427876096865393,PHE FOR
119,118,P,+,26.418,9.916666666666666,31.418,9.916666666666666,0.8821915319726198,0.4382691763267501,0.1722156496886213,0.8406368512663962,0.513489488008513,0.1722156496886213,PSC ARI
290,289,P,+,26.918,57.5,30.043,57.5,0.4790860698212663,0.2432435134445791,0.8433914458128856,0.465113359833667,0.2689989435553384,0.8433914458128856,PER CAS
291,290,M,+,26.918,54.0,26.918,57.5,0.5241018642952953,0.2660991143441146,0.8090169943749475,0.4790860698212663,0.2432435134445791,0.8433914458128856,PER CAS
489,490,P,+,28.918000000000003,-48.16666666666666,36.418,-48.16666666666666,0.5838038316074304,0.3225163692508138,-0.7450881006738437,0.5367124752905834,0.3959588881458517,-0.7450881006738437,ERI PHE
488,489,M,+,28.918000000000003,-51.5,28.918000000000003,-48.16666666666666,0.5448949400947409,0.301021555851431,-0.7826081568524139,0.5838038316074304,0.3225163692508138,-0.7450881006738437,ERI PHE
288,287,P,+,30.043,58.5,37.918,58.5,0.4523008376853961,0.2615888039639992,0.8526401643540922,0.4121944478792074,0.3210926459260348,0.8526401643540922,PER CAS
289,288,M,+,30.043,57.5,30.043,58.5,0.465113359833667,0.2689989435553384,0.8433914458128856,0.4523008376853961,0.2615888039639992,0.8526401643540922,PER CAS
121,122,M,+,30.168,25.0,30.168,27.25,0.7835534784789683,0.4554533469047939,0.4226182617406994,0.7686047539282685,0.4467641548897311,0.4578739151169567,ARI TRI
122,123,P,+,30.168,27.25,37.668,27.25,0.7686047539282685,0.4467641548897311,0.4578739151169567,0.7037148097514978,0.5432650774639237,0.4578739151169567,ARI TRI
21,20,M,+,31.418,35.0,31.418,36.75,0.6990537671820328,0.4270057403026834,0.573576436351046,0.6837796476682492,0.4176757902807468,0.598324600570659,TRI AND
334,118,M,+,31.418,2.0,31.418,9.916666666666666,0.8528672148053562,0.5209602086916685,0.0348994967025009,0.8406368512663962,0.513489488008513,0.1722156496886213,CET PSC
118,129,P,+,31.418,9.916666666666666,50.668,9.916666666666666,0.8406368512663962,0.513489488008513,0.1722156496886213,0.6243433407809816,0.7619298936416453,0.1722156496886213,CET ARI
20,19,P,+,31.418,36.75,39.168,36.75,0.6837796476682492,0.4176757902807468,0.598324600570659,0.6212099653295147,0.5060690183436094,0.598324600570659,TRI AND
16,17,M,+,32.043,47.0,32.043,50.5,0.5780960172688383,0.3618380272246744,0.7313537016191705,0.5391718035514467,0.3374748413834841,0.77162458338772,AND PER
17,18,P,+,32.043,50.5,39.168,50.5,0.5391718035514467,0.3374748413834841,0.77162458338772,0.4931497646650981,0.4017447098873686,0.77162458338772,AND PER
482,481,P,+,33.918,-54.0,37.668,-54.0,0.4877659641285292,0.3279876019764964,-0.8090169943749475,0.4652702042397799,0.3591867757298419,-0.8090169943749475,HOR ERI
542,483,M,+,33.918,-67.5,33.918,-58.5,0.3175648803973285,0.2135395891748335,-0.9238795325112868,0.4335886536459654,0.2915572491976588,-0.8526401643540922,HOR HYI
483,482,M,+,33.918,-58.5,33.918,-54.0,0.4335886536459654,0.2915572491976588,-0.8526401643540922,0.4877659641285292,0.3279876019764964,-0.8090169943749475,HOR ERI
542,541,P,+,33.918,-67.5,49.418,-67.5,0.3175648803973285,0.2135395891748335,-0.9238795325112868,0.2489492165809192,0.290638774031396,-0.9238795325112868,HYI HOR
491,492,P,+,36.418,-40.0,46.418,-40.0,0.6164415781753524,0.4547789237972072,-0.6427876096865393,0.5281049141074553,0.5549137667503145,-0.6427876096865393,ERI FOR
490,491,M,+,36.418,-48.16666666666666,36.418,-40.0,0.5367124752905834,0.3959588881458517,-0.7450881006738437,0.6164415781753524,0.4547789237972072,-0.6427876096865393,ERI PHE
123,124,M,+,37.668,27.25,37.668,30.666666666666668,0.7037148097514978,0.5432650774639237,0.4578739151169567,0.680863917828981,0.5256242783811396,0.5100425897656753,ARI TRI
480,479,P,+,37.668,-51.0,41.418,-51.0,0.4981479643016309,0.3845682777521585,-0.7771459614569709,0.4719294225038898,0.4163253232344454,-0.7771459614569709,HOR ERI
481,480,M,+,37.668,-54.0,37.668,-51.0,0.4652702042397799,0.3591867757298419,-0.8090169943749475,0.4981479643016309,0.3845682777521585,-0.7771459614569709,HOR ERI
124,125,P,+,37.668,30.666666666666668,42.168,30.666666666666668,0.680863917828981,0.5256242783811396,0.5100425897656753,0.6375250360227741,0.5774239214557046,0.5100425897656753,ARI TRI
286,287,M,+,37.918,57.0,37.918,58.5,0.4296608670179392,0.3346986970627353,0.838670567945424,0.4121944478792074,0.3210926459260348,0.8526401643540922,CAS PER
286,189,P,+,37.918,57.0,47.918,57.0,0.4296608670179392,0.3346986970627353,0.838670567945424,0.3650135341927739,0.4042236983629245,0.838670567945424,PER CAS
19,18,M,+,39.168,36.75,39.168,50.5,0.6212099653295147,0.5060690183436094,0.598324600570659,0.4931497646650981,0.4017447098873686,0.77162458338772,PER AND
19,679,P,+,39.168,36.75,39.918,36.75,0.6212099653295147,0.5060690183436094,0.598324600570659,0.6145325059834288,0.5141570493941403,0.598324600570659,TRI PER
678,677,P,+,39.918,34.0,42.168,34.0,0.6358416383762094,0.5319856272635698,0.5591929034707469,0.6144657698035417,0.5565385111990876,0.5591929034707469,TRI PER
678,679,M,+,39.918,34.0,39.918,36.75,0.6358416383762094,0.5319856272635698,0.5591929034707469,0.6145325059834288,0.5141570493941403,0.598324600570659,PER TRI
337,336,P,+,41.168,-1.75,50.668,-1.75,0.7524315683846383,0.6579621068945892,-0.0305385132098226,0.6335173515498461,0.7731255813231134,-0.0305385132098226,ERI CET
338,497,P,+,41.168,-24.383333333333333,57.668,-24.383333333333333,0.6856373113359775,0.5995540177835145,-0.4128395052119128,0.4871200440414959,0.7695957416913076,-0.4128395052119128,FOR ERI
338,337,M,+,41.168,-24.383333333333333,41.168,-1.75,0.6856373113359775,0.5995540177835145,-0.4128395052119128,0.7524315683846383,0.6579621068945892,-0.0305385132098226,ERI CET
478,477,P,+,41.418,-49.0,46.418,-49.0,0.4919808146744663,0.4340142019706448,-0.754709580222772,0.4522818490057773,0.4752416002202275,-0.754709580222772,HOR ERI
479,478,M,+,41.418,-51.0,41.418,-49.0,0.4719294225038898,0.4163253232344454,-0.7771459614569709,0.4919808146744663,0.4340142019706448,-0.754709580222772,HOR ERI
125,677,M,+,42.168,30.666666666666668,42.168,34.0,0.6375250360227741,0.5774239214557046,0.5100425897656753,0.6144657698035417,0.5565385111990876,0.5591929034707469,PER TRI
125,126,P,+,42.168,30.666666666666668,51.918,30.666666666666668,0.6375250360227741,0.5774239214557046,0.5100425897656753,0.5305302074443824,0.6770481929775335,0.5100425897656753,ARI PER
