vertex1_key,vertex2_key,edge_type,edge_dir,ra1_deg,dec1_deg,ra2_deg,dec2_deg,x1,y1,z1,x2,y2,z2,constellation
001,002,M,+,343.0,34.5,343.0,52.5,0.7881157936929232,-0.24095117867407076,0.5664062369248328,0.5821614498078933,-0.1779846167687292,0.7933533402912352,AND LAC
002,003,P,+,343.0,52.5,350.0,52.5,0.5821614498078933,-0.1779846167687292,0.7933533402912352,0.5995129750225789,-0.10571031278128075,0.7933533402912352,AND CAS
004,005,P,+,350.0,50.0,353.75,50.0,0.6330222215594891,-0.11161889704894969,0.766044443118978,0.638967097539679,-0.06997827826013772,0.766044443118978,AND CAS
006,007,P,+,353.75,48.0,2.5,48.0,0.665153520349567,-0.07284615798208878,0.7431448254773942,0.6684937422888074,0.0291870671167692,0.7431448254773942,AND CAS
008,009,P,+,2.5,46.0,13.0,46.0,0.6939972096140126,0.03030057254762408,0.7193398003386512,0.676854321427739,0.1562641328435426,0.7193398003386512,AND CAS
009,010,M,+,13.0,46.0,13.0,48.0,0.676854321427739,0.1562641328435426,0.7193398003386512,0.6519808322676645,0.15052163539417487,0.7431448254773942,AND CAS
010,011,P,+,13.0,48.0,16.75,48.0,0.6519808322676645,0.15052163539417487,0.7431448254773942,0.6407403052872025,0.19284094364692328,0.7431448254773942,AND CAS
011,012,M,+,16.75,48.0,16.75,50.0,0.6407403052872025,0.19284094364692328,0.7431448254773942,0.6155150061160134,0.18524899031449224,0.766044443118978,AND CAS
012,013,P,+,16.75,50.0,20.5,50.0,0.6155150061160134,0.18524899031449224,0.766044443118978,0.6020812775868353,0.22510896549435563,0.766044443118978,AND CAS
013,014,P,+,20.5,50.0,24.999999999999996,50.0,0.6020812775868353,0.22510896549435563,0.766044443118978,0.5825634160695854,0.2716537822741844,0.766044443118978,AND PER
015,016,P,+,24.999999999999996,47.0,30.624999999999996,47.0,0.6181004244708673,0.28822496143962073,0.7313537016191705,0.5868731154910997,0.34742151551351536,0.7313537016191705,AND PER
016,017,M,+,30.624999999999996,47.0,30.624999999999996,50.5,0.5868731154910997,0.34742151551351536,0.7313537016191705,0.5473579244328919,0.32402901856507266,0.77162458338772,AND PER
017,018,P,+,30.624999999999996,50.5,37.75,50.5,0.5473579244328919,0.32402901856507266,0.77162458338772,0.5029404168591677,0.38941807790760596,0.77162458338772,AND PER
025,026,P,+,10.75,23.75,12.75,23.75,0.8992481267036253,0.1707275912904839,0.40274668985873724,0.8927420220324406,0.20200689568739824,0.40274668985873724,AND PSC
028,029,M,+,2.125,21.0,2.125,22.0,0.9329384124019034,0.03461692366044463,0.35836794954530027,0.926546239331217,0.0343797404077553,0.374606593415912,AND PEG
030,031,M,+,1.0,22.0,1.0,28.0,0.9270426399748211,0.01618158947198674,0.374606593415912,0.8828131156638819,0.015409560253395118,0.4694715627858908,AND PEG
032,033,M,+,0.0,28.0,0.0,31.333333333333332,0.882947592858927,0.0,0.4694715627858908,0.8541564415805256,0.0,0.5200161279292155,AND PEG
034,035,M,+,356.25,31.333333333333332,356.25,32.083333333333336,0.8523276270728604,-0.055864504131450034,0.5200161279292155,0.8454623791751615,-0.05541453201114982,0.5311521392609281,AND PEG
036,037,M,+,352.5,32.083333333333336,352.5,34.5,0.8400278955241215,-0.1105917704888347,0.5311521392609281,0.817075674832881,-0.10757005330965579,0.5664062369248328,AND PEG
038,050,P,+,140.5,-24.0,146.25,-24.0,-0.7049141331592159,0.5810863688401409,-0.4067366430758002,-0.7595852874868447,0.5075386627764988,-0.4067366430758002,ANT HYA
049,048,P,+,146.25,-26.5,153.75,-26.5,-0.7441107266774617,0.497198891812486,-0.44619781310980877,-0.8026422343818145,0.3958193466249378,-0.44619781310980877,ANT HYA
047,046,P,+,153.75,-29.166666666666668,158.75,-29.166666666666668,-0.7831544392046594,0.3862090295698889,-0.48735173112724234,-0.813834634950712,0.3164829807776738,-0.48735173112724234,ANT HYA
045,044,P,+,158.75,-31.166666666666668,162.5,-31.166666666666668,-0.7974869713524563,0.31012572208882483,-0.5175292909797199,-0.8160626832099439,0.2573035756654291,-0.5175292909797199,ANT HYA
043,042,P,+,162.5,-35.0,165.0,-35.0,-0.7812391898784737,0.24632377039348122,-0.573576436351046,-0.7912401152362238,0.21201214989665487,-0.573576436351046,ANT HYA
040,039,M,+,140.5,-39.75,140.5,-36.75,-0.5932572583647345,0.4890435442203815,-0.6394390019805848,-0.6182671394055619,0.5096600991673026,-0.598324600570659,ANT VEL
039,038,M,+,140.5,-36.75,140.5,-24.0,-0.6182671394055619,0.5096600991673026,-0.598324600570659,-0.7049141331592159,0.5810863688401409,-0.4067366430758002,ANT PYX
051,060,M,+,205.0,-82.5,205.0,-75.0,-0.11829690442127548,-0.05516275246767064,-0.9914448613738104,-0.2345697160098045,-0.10938165494661496,-0.9659258262890683,APS CHA
060,059,M,+,205.0,-75.0,205.0,-70.0,-0.2345697160098045,-0.10938165494661496,-0.9659258262890683,-0.3099755192194448,-0.144543958452599,-0.9396926207859083,APS MUS
059,058,P,+,205.0,-70.0,221.25,-70.0,-0.3099755192194448,-0.144543958452599,-0.9396926207859083,-0.2571443587119031,-0.2255095501817055,-0.9396926207859083,APS CIR
058,057,P,+,221.25,-70.0,255.0,-70.0,-0.2571443587119031,-0.2255095501817055,-0.9396926207859083,-0.08852132690137685,-0.3303660895493522,-0.9396926207859083,APS TRA
057,056,M,+,255.0,-70.0,255.0,-67.5,-0.08852132690137685,-0.3303660895493522,-0.9396926207859083,-0.0990457605412876,-0.36964381061438617,-0.9238795325112867,APS TRA
056,055,P,+,255.0,-67.5,262.5,-67.5,-0.0990457605412876,-0.36964381061438617,-0.9238795325112867,-0.049950211252314844,-0.3794095225512604,-0.9238795325112867,APS ARA
055,054,P,+,262.5,-67.5,270.0,-67.5,-0.049950211252314844,-0.3794095225512604,-0.9238795325112867,-7.029780607989448e-17,-0.38268343236508984,-0.9238795325112867,APS PAV
061,062,M,+,308.0,0.0,308.0,2.0,0.6156614753256585,-0.7880107536067218,0.0,0.6152864309895065,-0.7875307187469626,0.03489949670250097,AQR AQL
062,063,P,+,308.0,2.0,312.5,2.0,0.6152864309895065,-0.7875307187469626,0.03489949670250097,0.6751786563150172,-0.7368282073771064,0.03489949670250097,AQR DEL
063,064,P,+,312.5,2.0,320.0,2.0,0.6751786563150172,-0.7368282073771064,0.03489949670250097,0.7655777895420579,-0.6423960408422585,0.03489949670250097,AQR EQU
064,065,P,+,320.0,2.0,322.0,2.0,0.7655777895420579,-0.6423960408422585,0.03489949670250097,0.7875307187469628,-0.6152864309895062,0.03489949670250097,AQR PEG
065,066,M,+,322.0,2.0,322.0,2.75,0.7875307187469628,-0.6152864309895062,0.03489949670250097,0.7871032697728643,-0.614952471249978,0.04797812852134394,AQR PEG
066,067,P,+,322.0,2.75,325.0,2.75,0.7871032697728643,-0.614952471249978,0.04797812852134394,0.818208697723908,-0.5729158979750308,0.04797812852134394,AQR PEG
068,069,P,+,325.0,1.75,330.0,1.75,0.8187699842694098,-0.5733089150452868,0.03053851320982266,0.8656214816004739,-0.4997667954183569,0.03053851320982266,AQR PEG
069,070,M,+,330.0,1.75,330.0,2.0,0.8656214816004739,-0.4997667954183569,0.03053851320982266,0.8654978445076762,-0.4996954135095483,0.03489949670250097,AQR PEG
070,071,P,+,330.0,2.0,341.25,2.0,0.8654978445076762,-0.4996954135095483,0.03489949670250097,0.946353285245413,-0.32124365306590286,0.03489949670250097,AQR PEG
073,074,P,+,341.25,-4.0,357.5,-4.0,0.9446234552921974,-0.3206564549211744,-0.0697564737441253,0.9966145903260724,-0.04351313273001697,-0.0697564737441253,AQR PSC
078,079,M,+,328.0,-25.5,328.0,-9.0,0.7654357320117056,-0.4782973297903963,-0.43051109680829514,0.8376072168376061,-0.5233950787398906,-0.15643446504023087,AQR CAP
082,083,M,+,308.0,-15.0,308.0,-9.0,0.5946833192682836,-0.7611599383022442,-0.25881904510252074,0.6080816609327541,-0.778309033600947,-0.15643446504023087,AQR CAP
083,061,M,+,308.0,-9.0,308.0,0.0,0.6080816609327541,-0.778309033600947,-0.15643446504023087,0.6156614753256585,-0.7880107536067218,0.0,AQR AQL
084,085,M,+,278.75,0.0,278.75,2.0,0.15212338618991678,-0.9883615104677607,0.0,0.15203071673328622,-0.987759427340218,0.03489949670250097,AQL SER2
085,086,P,+,278.75,2.0,283.0,2.0,0.15203071673328622,-0.987759427340218,0.03489949670250097,0.22481402023953273,-0.9737765048683662,0.03489949670250097,AQL SER2
086,087,M,+,283.0,2.0,283.0,6.25,0.22481402023953273,-0.9737765048683662,0.03489949670250097,0.2236140213603124,-0.9685787386738554,0.10886687485196457,AQL SER2
088,089,M,+,279.9333333333333,6.25,279.9333333333333,12.0,0.1714768898849102,-0.9791545740052309,0.10886687485196457,0.16873259791509657,-0.9634843222503016,0.20791169081775934,AQL OPH
