vertex1_key,vertex2_key,edge_type,edge_dir,ra1_deg,dec1_deg,ra2_deg,dec2_deg,x1,y1,z1,x2,y2,z2,constellation
001,002,M,+,344.418,34.5,344.418,52.5,0.7938370812175335,-0.22137448646282007,0.5664062369248328,0.5863876219855729,-0.16352380325458565,0.7933533402912352,AND LAC
002,003,P,+,344.418,52.5,351.418,52.5,0.5863876219855729,-0.16352380325458565,0.7933533402912352,0.6019453161056355,-0.09084224714980436,0.7933533402912352,AND CAS
004,005,P,+,351.418,50.0,355.168,50.0,0.635590516192193,-0.09591979406293842,0.766044443118978,0.640503122795037,-0.05414481375294075,0.766044443118978,AND CAS
006,007,P,+,355.168,48.0,3.918,48.0,0.6667524956487354,-0.05636379966216294,0.7431448254773942,0.6675667557706715,0.04572083721886556,0.7431448254773942,AND CAS
008,009,P,+,3.918,46.0,14.418,46.0,0.6930348579624719,0.04746511664039019,0.7193398003386512,0.6727800947309811,0.172965880399926,0.7193398003386512,AND CAS
009,010,M,+,14.418,46.0,14.418,48.0,0.6727800947309811,0.172965880399926,0.7193398003386512,0.6480563279415397,0.1666096161123386,0.7431448254773942,AND CAS
010,011,P,+,14.418,48.0,18.168,48.0,0.6480563279415397,0.1666096161123386,0.7431448254773942,0.6357719993441283,0.20863780389982783,0.7431448254773942,AND CAS
011,012,M,+,18.168,48.0,18.168,50.0,0.6357719993441283,0.20863780389982783,0.7431448254773942,0.610742297363804,0.20042394412174816,0.766044443118978,AND CAS
012,013,P,+,18.168,50.0,21.918,50.0,0.610742297363804,0.20042394412174816,0.766044443118978,0.5963262981055069,0.23993927847336097,0.766044443118978,AND CAS
013,014,P,+,21.918,50.0,26.417999999999996,50.0,0.5963262981055069,0.23993927847336097,0.766044443118978,0.5756626043236769,0.2859868478616049,0.766044443118978,AND PER
015,016,P,+,26.417999999999996,47.0,32.043,47.0,0.6107786556270268,0.3034323597745947,0.7313537016191705,0.5780960172688383,0.36183802722467445,0.7313537016191705,AND PER
016,017,M,+,32.043,47.0,32.043,50.5,0.5780960172688383,0.36183802722467445,0.7313537016191705,0.5391718035514467,0.33747484138348416,0.77162458338772,AND PER
017,018,P,+,32.043,50.5,39.168,50.5,0.5391718035514467,0.33747484138348416,0.77162458338772,0.4931497646650981,0.4017447098873686,0.77162458338772,AND PER
025,026,P,+,12.168,23.75,14.168,23.75,0.8947478789581232,0.1929283206472544,0.40274668985873724,0.8874697214352926,0.22403704457833362,0.40274668985873724,AND PSC
028,029,M,+,3.543,21.0,3.543,22.0,0.9317960750849341,0.057693042864880015,0.35836794954530027,0.9254117289165793,0.057297749981593774,0.374606593415912,AND PEG
030,031,M,+,2.418,22.0,2.418,28.0,0.9263583133996464,0.039117456009922114,0.374606593415912,0.882161438545796,0.037251148682764065,0.4694715627858908,AND PEG
032,033,M,+,1.418,28.0,1.418,31.333333333333332,0.8826772032729278,0.021849635183589754,0.4694715627858908,0.853894868856974,0.021137162374290048,0.5200161279292155,AND PEG
034,035,M,+,357.668,31.333333333333332,357.668,32.083333333333336,0.8534490509589128,-0.03475549036968001,0.5200161279292155,0.8465747703222394,-0.034475545135459015,0.5311521392609281,AND PEG
036,037,M,+,353.918,32.083333333333336,353.918,34.5,0.8425073802209438,-0.08977036945329743,0.5311521392609281,0.8194874121605205,-0.08731755884759641,0.5664062369248328,AND PEG
038,050,P,+,141.918,-24.0,147.668,-24.0,-0.7190779678305249,0.5634644437408199,-0.4067366430758002,-0.7719123505649337,0.4885863549309866,-0.4067366430758002,ANT HYA
049,048,P,+,147.668,-26.5,155.168,-26.5,-0.7561866581310374,0.4786326876015029,-0.44619781310980877,-0.8121914786281249,0.37583575351459625,-0.44619781310980877,ANT HYA
047,046,P,+,155.168,-29.166666666666668,160.168,-29.166666666666668,-0.7924718320631445,0.3667106291802343,-0.48735173112724234,-0.8214171747480212,0.2962467133931765,-0.48735173112724234,ANT HYA
045,044,P,+,160.168,-31.166666666666668,163.918,-31.166666666666668,-0.8049171991142445,0.2902959447669017,-0.5175292909797199,-0.8221800727949489,0.23703029527239994,-0.5175292909797199,ANT HYA
043,042,P,+,163.918,-35.0,166.418,-35.0,-0.7870955347180169,0.2269156030108849,-0.573576436351046,-0.7962443137620268,0.192367004614808,-0.573576436351046,ANT HYA
040,039,M,+,141.918,-39.75,141.918,-36.75,-0.6051775722437787,0.47421289396135125,-0.6394390019805848,-0.6306899766467406,0.49420423481521797,-0.598324600570659,ANT VEL
039,038,M,+,141.918,-36.75,141.918,-24.0,-0.6306899766467406,0.49420423481521797,-0.598324600570659,-0.7190779678305249,0.5634644437408199,-0.4067366430758002,ANT PYX
051,060,M,+,206.418,-82.5,206.418,-75.0,-0.11689560690581759,-0.0580732635692748,-0.9914448613738104,-0.23179109756789126,-0.1151528774979287,-0.9659258262890683,APS CHA
060,059,M,+,206.418,-75.0,206.418,-70.0,-0.23179109756789126,-0.1151528774979287,-0.9659258262890683,-0.30630367398342645,-0.1521704233573852,-0.9396926207859083,APS MUS
059,058,P,+,206.418,-70.0,222.668,-70.0,-0.30630367398342645,-0.1521704233573852,-0.9396926207859083,-0.25148509807288777,-0.23180384787095548,-0.9396926207859083,APS CIR
058,057,P,+,222.668,-70.0,256.418,-70.0,-0.25148509807288777,-0.23180384787095548,-0.9396926207859083,-0.08031889921802446,-0.3324554900568133,-0.9396926207859083,APS TRA
057,056,M,+,256.418,-70.0,256.418,-67.5,-0.08031889921802446,-0.3324554900568133,-0.9396926207859083,-0.0898681338989794,-0.3719816230894228,-0.9238795325112867,APS TRA
056,055,P,+,256.418,-67.5,263.918,-67.5,-0.0898681338989794,-0.3719816230894228,-0.9238795325112867,-0.04054595471769994,-0.38052941405725327,-0.9238795325112867,APS ARA
055,054,P,+,263.918,-67.5,271.418,-67.5,-0.04054595471769994,-0.38052941405725327,-0.9238795325112867,0.00946997699026177,-0.3825662412478788,-0.9238795325112867,APS PAV
061,062,M,+,309.418,0.0,309.418,2.0,0.6349732432873475,-0.7725341288960293,0.0,0.6345864347439397,-0.7720635219778795,0.03489949670250097,AQR AQL
062,063,P,+,309.418,2.0,313.918,2.0,0.6345864347439397,-0.7720635219778795,0.03489949670250097,0.6932056223269792,-0.7198944299716297,0.03489949670250097,AQR DEL
063,064,P,+,313.918,2.0,321.418,2.0,0.6932056223269792,-0.7198944299716297,0.03489949670250097,0.7812402308761398,-0.6232541430191282,0.03489949670250097,AQR EQU
064,065,P,+,321.418,2.0,323.418,2.0,0.7812402308761398,-0.6232541430191282,0.03489949670250097,0.8025155763450106,-0.5956095825736418,0.03489949670250097,AQR PEG
065,066,M,+,323.418,2.0,323.418,2.75,0.8025155763450106,-0.5956095825736418,0.03489949670250097,0.8020799940221361,-0.595286302860262,0.04797812852134394,AQR PEG
066,067,P,+,323.418,2.75,326.418,2.75,0.8020799940221361,-0.595286302860262,0.04797812852134394,0.8321356491647959,-0.5524928602006303,0.04797812852134394,AQR PEG
068,069,P,+,326.418,1.75,331.418,1.75,0.8327064895203284,-0.5528718671823197,0.03053851320982266,0.8777237481553005,-0.47819287022617146,0.03053851320982266,AQR PEG
069,070,M,+,331.418,1.75,331.418,2.0,0.8777237481553005,-0.47819287022617146,0.03053851320982266,0.8775983824905058,-0.4781245697304836,0.03489949670250097,AQR PEG
070,071,P,+,331.418,2.0,342.668,2.0,0.8775983824905058,-0.4781245697304836,0.03489949670250097,0.9540130519249148,-0.29772658914988087,0.03489949670250097,AQR PEG
073,074,P,+,342.668,-4.0,358.918,-4.0,0.952269220758787,-0.2971823776172431,-0.0697564737441253,0.9973861784416943,-0.018837341220505698,-0.0697564737441253,AQR PSC
078,079,M,+,329.418,-25.5,329.418,-9.0,0.7770373903630798,-0.4592092001502728,-0.43051109680829514,0.8503027735721417,-0.5025071655241345,-0.15643446504023087,AQR CAP
082,083,M,+,309.418,-15.0,309.418,-9.0,0.6133370546937807,-0.7462106667904027,-0.25881904510252074,0.6271556689847929,-0.7630229518224295,-0.15643446504023087,AQR CAP
083,061,M,+,309.418,-9.0,309.418,0.0,0.6271556689847929,-0.7630229518224295,-0.15643446504023087,0.6349732432873475,-0.7725341288960293,0.0,AQR AQL
084,085,M,+,280.168,0.0,280.168,2.0,0.1765350342063278,-0.984294357241659,0.0,0.1764274938333063,-0.9836947517139709,0.03489949670250097,AQL SER2
085,086,P,+,280.168,2.0,284.418,2.0,0.1764274938333063,-0.9836947517139709,0.03489949670250097,0.24884248374456341,-0.9679149980312056,0.03489949670250097,AQL SER2
086,087,M,+,284.418,2.0,284.418,6.25,0.24884248374456341,-0.9679149980312056,0.03489949670250097,0.247514227164846,-0.9627485190385678,0.10886687485196457,AQL SER2
088,089,M,+,281.3513333333333,6.25,281.3513333333333,12.0,0.1956547740965543,-0.9746113137724152,0.10886687485196457,0.19252354267656968,-0.959013771713714,0.20791169081775934,AQL OPH
089,090,P,+,281.3513333333333,12.0,284.418,12.0,0.19252354267656968,-0.959013771713714,0.20791169081775934,0.24355304436943256,-0.9473408274742948,0.20791169081775934,AQL HER
090,091,M,+,284.418,12.0,284.418,18.5,0.24355304436943256,-0.9473408274742948,0.20791169081775934,0.23612705597779574,-0.9184561875554572,0.31730465640509214,AQL HER
091,092,P,+,284.418,18.5,286.418,18.5,0.23612705597779574,-0.9184561875554572,0.31730465640509214,0.26803687244421737,-0.9096559734503856,0.31730465640509214,AQL SGE
093,094,P,+,286.418,16.166666666666668,298.918,16.166666666666668,0.27146594556201586,-0.9212934650259252,0.2784323826365118,0.4644355206151414,-0.8406991468357141,0.2784323826365118,AQL SGE
095,096,P,+,298.918,15.75,303.543,15.75,0.46540234664921865,-0.8424492494568718,0.27144044986507426,0.5318168199113671,-0.802178877954541,0.27144044986507426,AQL SGE
097,098,P,+,303.543,8.5,305.918,8.5,0.5464932304104735,-0.8243163998714588,0.14780941112961063,0.5801832208466542,-0.8009618019790458,0.14780941112961063,AQL DEL
099,062,P,+,305.918,2.0,309.418,2.0,0.5862694526795064,-0.8093640429280166,0.03489949670250097,0.6345864347439397,-0.7720635219778795,0.03489949670250097,AQL DEL
102,103,M,+,284.418,-12.033333333333333,284.418,-4.0,0.24352288528853547,-0.9472235186197622,-0.20848071880714492,0.24838762699209563,-0.9661457556331863,-0.0697564737441253,AQL SCT
104,084,M,+,280.168,-4.0,280.168,0.0,0.17610500373562096,-0.9818966656578797,-0.0697564737441253,0.1765350342063278,-0.984294357241659,0.0,AQL SER2
105,106,M,+,247.7305,-60.0,247.7305,-45.5,-0.1894817965676534,-0.4627057907239702,-0.8660254037844386,-0.26561909326089583,-0.6486295507272374,-0.7132504491541816,ARA NOR
106,107,P,+,247.7305,-45.5,268.918,-45.5,-0.26561909326089583,-0.6486295507272374,-0.7132504491541816,-0.01323550800852432,-0.7007842878583356,-0.7132504491541816,ARA SCO
107,108,P,+,268.918,-45.5,271.418,-45.5,-0.01323550800852432,-0.7007842878583356,-0.7132504491541816,0.017344870573985177,-0.7006946212481796,-0.7132504491541816,ARA CRA
111,112,M,+,253.91799999999998,-67.5,253.91799999999998,-65.0,-0.10600820985897991,-0.3677075860642812,-0.9238795325112867,-0.1170706688396796,-0.4060796149207202,-0.9063077870366499,ARA TRA
113,114,M,+,252.668,-65.0,252.668,-63.583333333333336,-0.125901389305133,-0.40342909578731145,-0.9063077870366499,-0.1325380215497388,-0.4246950290728075,-0.8955823832147036,ARA TRA
115,116,M,+,250.16799999999998,-63.583333333333336,250.16799999999998,-61.0,-0.1509368117065039,-0.4185095862072304,-0.8955823832147036,-0.16447813798116848,-0.45605625750519563,-0.8746197071393957,ARA TRA
117,105,M,+,247.7305,-61.0,247.7305,-60.0,-0.18372519567511544,-0.44864843737333815,-0.8746197071393957,-0.1894817965676534,-0.4627057907239702,-0.8660254037844386,ARA TRA
119,120,M,+,26.417999999999996,9.916666666666666,26.417999999999996,25.0,0.8821915319726198,0.43826917632675017,0.17221564968862135,0.811663904440801,0.4032313369161477,0.42261826174069944,ARI PSC
120,121,P,+,26.417999999999996,25.0,30.167999999999996,25.0,0.811663904440801,0.4032313369161477,0.42261826174069944,0.7835534784789683,0.4554533469047939,0.42261826174069944,ARI TRI
121,122,M,+,30.167999999999996,25.0,30.167999999999996,27.25,0.7835534784789683,0.4554533469047939,0.42261826174069944,0.7686047539282685,0.44676415488973115,0.45787391511695674,ARI TRI
122,123,P,+,30.167999999999996,27.25,37.668,27.25,0.7686047539282685,0.44676415488973115,0.45787391511695674,0.7037148097514978,0.5432650774639237,0.45787391511695674,ARI TRI
123,124,M,+,37.668,27.25,37.668,30.666666666666668,0.7037148097514978,0.5432650774639237,0.45787391511695674,0.680863917828981,0.5256242783811396,0.5100425897656753,ARI TRI
124,125,P,+,37.668,30.666666666666668,42.168,30.666666666666668,0.680863917828981,0.5256242783811396,0.5100425897656753,0.6375250360227741,0.5774239214557046,0.5100425897656753,ARI TRI
125,126,P,+,42.168,30.666666666666668,51.918,30.666666666666668,0.6375250360227741,0.5774239214557046,0.5100425897656753,0.5305302074443824,0.6770481929775335,0.5100425897656753,ARI PER
130,131,M,+,68.918,30.666666666666668,68.918,36.0,0.30939882620082876,0.8025764281180158,0.5100425897656753,0.2910064016788175,0.7548667242430418,0.5877852522924731,AUR PER
